year,return_year,year_profit,ticker
2010,0.0438,438.0,DIS
2011,0.1125,1125.0,DIS
2012,0.0925,925.0,DIS
2013,0.0883,883.0,DIS
2014,0.0561,561.0,DIS
2015,0.1147,1147.0,DIS
2016,0.0,0.0,DIS
2017,0.0,0.0,DIS
2018,0.0375,375.0,DIS
2019,0.0666,666.0,DIS
2020,-0.1513,-1513.0,DIS
2012,0.0311,311.0,FB
2013,0.2962,2962.0,FB
2014,0.1236,1236.0,FB
2015,0.124,1240.0,FB
2016,0.0825,825.0,FB
2017,0.094,940.0,FB
2018,-0.0553,-553.0,FB
2019,0.1604,1604.0,FB
2020,-0.0713,-713.0,FB
2000,0.0747,747.0,GE
2001,-0.1381,-1381.0,GE
2002,-0.2067,-2067.0,GE
2003,0.0873,873.0,GE
2004,0.0418,418.0,GE
2005,0.0,0.0,GE
2006,0.0,0.0,GE
2007,0.0289,289.0,GE
2008,-0.2854,-2854.0,GE
2009,-0.1132,-1132.0,GE
2010,0.0717,717.0,GE
2011,-0.0562,-562.0,GE
2012,0.0554,554.0,GE
2013,0.0423,423.0,GE
2014,0.0,0.0,GE
2015,0.0835,835.0,GE
2016,0.013,130.0,GE
2017,-0.1301,-1301.0,GE
2018,-0.3975,-3975.0,GE
2019,0.1538,1538.0,GE
2020,-0.1644,-1644.0,GE
2000,0.2008,2008.0,GILD
2001,0.2432,2432.0,GILD
2002,0.2125,2125.0,GILD
2003,0.1871,1871.0,GILD
2004,0.1158,1158.0,GILD
2005,0.1388,1388.0,GILD
2006,0.1058,1058.0,GILD
2007,0.0749,749.0,GILD
2008,0.1385,1385.0,GILD
2009,0.0141,141.0,GILD
2010,-0.124,-1240.0,GILD
2011,0.0137,137.0,GILD
2012,0.2082,2082.0,GILD
2013,0.1843,1843.0,GILD
2014,0.1377,1377.0,GILD
2015,0.066,660.0,GILD
2016,0.0848,848.0,GILD
2017,-0.1116,-1116.0,GILD
2018,0.042,420.0,GILD
2019,0.0,0.0,GILD
2020,0.1238,1238.0,GILD
2014,0.0557,557.0,GOOG
2015,0.1434,1434.0,GOOG
2016,0.0156,156.0,GOOG
2017,0.0684,684.0,GOOG
2018,0.0435,435.0,GOOG
2019,0.104,1040.0,GOOG
2020,0.1015,1015.0,GOOG
2004,0.2217,2217.0,GOOGL
2005,0.2487,2487.0,GOOGL
2006,0.0845,845.0,GOOGL
2007,0.1066,1066.0,GOOGL
2008,-0.1621,-1621.0,GOOGL
2009,0.2138,2138.0,GOOGL
2010,0.0544,544.0,GOOGL
2011,0.0893,893.0,GOOGL
2012,0.0405,405.0,GOOGL
2013,0.0949,949.0,GOOGL
2014,0.0264,264.0,GOOGL
2015,0.117,1170.0,GOOGL
2016,0.014,140.0,GOOGL
2017,0.0657,657.0,GOOGL
2018,0.0411,411.0,GOOGL
2019,0.0911,911.0,GOOGL
2020,0.0303,303.0,GOOGL
2000,-0.054,-540.0,GS
2001,0.0435,435.0,GS
2002,-0.0585,-585.0,GS
2003,0.1079,1079.0,GS
2004,0.0639,639.0,GS
2005,0.0952,952.0,GS
2006,0.1194,1194.0,GS
2007,0.2266,2266.0,GS
2008,-0.0537,-537.0,GS
2009,0.3447,3447.0,GS
2010,0.1362,1362.0,GS
2011,-0.1525,-1525.0,GS
2012,0.1808,1808.0,GS
2013,0.0895,895.0,GS
2014,0.0271,271.0,GS
2015,0.0155,155.0,GS
2016,-0.012,-120.0,GS
2017,0.0637,637.0,GS
2018,-0.1627,-1627.0,GS
2019,0.0635,635.0,GS
2020,-0.1069,-1069.0,GS
2000,0.0818,818.0,HD
2001,0.0649,649.0,HD
2002,-0.2269,-2269.0,HD
2003,0.0,0.0,HD
2004,0.0393,393.0,HD
2005,0.0471,471.0,HD
2006,0.0,0.0,HD
2007,-0.1408,-1408.0,HD
2008,0.0941,941.0,HD
2009,0.1952,1952.0,HD
2010,0.061,610.0,HD
2011,0.1215,1215.0,HD
2012,0.1049,1049.0,HD
2013,0.0594,594.0,HD
2014,0.0621,621.0,HD
2015,0.0688,688.0,HD
2016,0.0511,511.0,HD
2017,0.0853,853.0,HD
2018,0.0698,698.0,HD
2019,0.0618,618.0,HD
2020,-0.0527,-527.0,HD
2000,0.0959,959.0,HON
2001,-0.0402,-402.0,HON
2002,-0.0646,-646.0,HON
2003,0.1024,1024.0,HON
2004,0.0335,335.0,HON
2005,0.014,140.0,HON
2006,0.1181,1181.0,HON
2007,0.0751,751.0,HON
2008,-0.2221,-2221.0,HON
2009,0.0478,478.0,HON
2010,0.1136,1136.0,HON
2011,-0.0438,-438.0,HON
2012,0.0395,395.0,HON
2013,0.0951,951.0,HON
2014,0.0265,265.0,HON
2015,0.0138,138.0,HON
2016,0.0282,282.0,HON
2017,0.0678,678.0,HON
2018,0.0158,158.0,HON
2019,0.0624,624.0,HON
2020,-0.1286,-1286.0,HON
2000,0.0228,228.0,IBM
2001,0.1771,1771.0,IBM
2002,0.0441,441.0,IBM
2003,0.013,130.0,IBM
2004,0.0148,148.0,IBM
2005,0.0,0.0,IBM
2006,0.036,360.0,IBM
2007,0.0533,533.0,IBM
2008,-0.0181,-181.0,IBM
2009,0.1209,1209.0,IBM
2010,0.0274,274.0,IBM
