ticker,total_profit,return_year_mean,return_year_std,sharpe
V,12563.0,0.09663846153846153,0.1192134190850209,0.810634090358072
VZ,423.0,0.002014285714285717,0.11475234735938868,0.017553329065916615
WFC,20109.0,0.09575714285714283,0.18631698430217192,0.5139474708427136
WMT,7297.0,0.03474761904761905,0.09521891378266249,0.3649234975199424
XOM,7544.0,0.03592380952380952,0.0841520557130105,0.42689164536066637
ADP,8541.0,0.04067142857142857,0.10580135989249874,0.38441309840207594
AGN,22072.0,0.10510476190476188,0.17168327282470025,0.6122015277055014
AIG,1144.0,0.0054476190476190475,0.32684408634706147,0.016667332453537062
AMAT,14368.0,0.06841904761904762,0.20914268908831832,0.32714051787942305
AMT,13277.0,0.06322380952380953,0.2970632222348218,0.21282947464237942
ANTM,17338.0,0.08256190476190477,0.1524540913761394,0.5415525684922782
